Reactants,Products,dE (kcal/mol),K,k2
159 + 0,155 + 15,-2.6,80.52287469679982,16641233.997738224
155 + 15,825 + 347,-4.1,1012.716955245688,1323173.2648091314
155 + Et2O ,347,-7.4,265790.5057444123,5041.5645820267255
159 + 1508,871 + 347,-1.0,5.408114445011275,247775821.61488563
359 + 822,159 + 1508,-24.2,5.491742144551941e+17,2.4400271621080045e-09
359 + 347,159 + 985,-21.4,4866107420122032.0,2.753741100040072e-07
871 + 155,159 + 822,-4.6,2355.1090312642555,568975.7808285713
359 + 15,159 + 278,-19.7,276060141947347.2,4.85401474674159e-06
159 + 0,825 + 347,-6.7,81546.88049057324,16432.265611373117
359 + 825,159 + 15,-25.8,8.176803007207209e+18,1.6387822952551204e-10
359,159 + Et2O ,-22.5,3.115531543126511e+16,4.3010317226808673e-08
359 + 1508,871 + 985,-22.5,3.115531543126511e+16,4.3010317226808673e-08
359 + 822,871 + 347,-25.3,3.516094981240592e+18,3.81104608137521e-10
359 + 0,985 + 825,-28.1,3.9681588024298655e+20,3.3768809836427496e-12
2050 + 822,1508 + 1508,-4.3,1419.3753407777042,944077.2722356773
2050 + 347,1508 + 985,-1.5,12.576761063970512,106545715.00438118
1508 + 2260,2050 + 1211,-5.6,12736.699171556733,105207.7922192316
871 + 0,1508 + 825,-5.6,12736.699171556733,105207.7922192316
1508 + 825,822 + 15,-1.6,14.889269728949303,89997697.96598078
1508 + 278,2050 + 15,-0.2,1.4015518683928414,956083060.6551701
1508 + 278,257 + 1211,-0.5,2.3255353028950725,576211420.3692484
2260 + 0,1508 + 278,-8.1,866306.5039261305,1546.7966521399464
2050 + 102,1508 + 0,-1.8,20.868083807613868,64212891.43524963
257 + 822,1508 + 0,-1.3,8.973453888932612,149329345.93364164
2050 + 155,1508 + 347,-9.9,18078156.727011453,74.12260111661942
985 + 822,1508 + 347,-2.8,112.8569854796624,11873434.278833162
2050 + 825,1508 + 15,-5.9,21133.462295458605,63406.553136726405
257 + 871,1508 + 15,-8.4,1437425.4734632077,932.2222436837166
