Reactants,Products,dE (kcal/mol),K,k2
3 + 18,17 + 6,-7.8,522104.9526390789,2566.5337844943147
17 + 0,2 + 3,-5.9,21133.462295458605,63406.553136726405
17 + 0,6 + 1,-16.6,1474217286107.4636,0.0009089569174284667
17 + 0,54 + THF,-12.8,2415389534.034459,0.5547759403270159
17 + 0,60,-9.1,4685084.717690128,286.01403832472334
17 + 1,60 + THF,-3.5,367.8413578419695,3642874.7649841085
17 + 1,2 + 6,-6.8,96541.03254429017,13880.108433533147
17 + 1,33,-2.6,80.52287469679982,16641233.997738224
60 + 18,17 + 33,-0.4,1.964347639795465,682160312.5908638
17 + 33,70 + 6,-0.5,2.3255353028950725,576211420.3692484
60 + 3,17 + 43,-9.6,10895329.908042582,122.98847408106982
17 + 43,6 + 54,-0.6,2.753135104728402,486717850.38758266
33 + 19,17 + 43,-14.0,18308055837.03337,0.07319182396688238
18 + 74,17 + 43,-1.0,5.408114445011275,247775821.61488563
60 + 2,17 + 18,-9.1,4685084.717690128,286.01403832472334
70 + 0,17 + 18,-21.9,1.1316304593173484e+16,1.1841321422263145e-07
60 + 19,17 + 74,-13.4,6649893717.743834,0.20150697994232505
3 + 54,17 + 74,-6.3,41513.46678079052,32278.682170192944
17 + 74,6 + 43,-10.7,69757490.0646664,19.209406742670883
17 + 19,2 + 106,-5.0,4626.252867024924,289651.2660497381
17 + 19,3 + 6,-14.5,42576030176.39544,0.031473108095054596
17 + 54,60 + 6,-7.3,224509.5793596888,5968.564921914419
3 + 33,17 + 54,-0.0,1.0,1340000000.0
70 + 19,17 + 54,-14.1,21674386607.46861,0.061824125603548094
17 + 54,43 + 18,-9.2,5546538.5491424585,241.59211878319593
2 + 0,17 + THF,-19.5,196967481670089.03,6.80315343750211e-06
18,17 + THF,-1.3,8.973453888932612,149329345.93364164
13 + 105,60 + THF,-33.5,3.606091652495852e+24,3.715934394159277e-16
13 + 105,17 + 1,-29.9,8.280787045102663e+21,1.6182036715851651e-13
13 + 105,2 + 6,-36.7,7.994357316135954e+26,1.6761822708316028e-18
13 + 105,33,-32.6,7.893970052270381e+23,1.6974982057533943e-15
13 + 3,60 + 1,-2.2,40.99217117454028,32689168.726741098
13 + 3,17 + 17,-8.3,1214173.4991785414,1103.631401036662
13 + 3,2 + 54,-1.6,14.889269728949303,89997697.96598078
13 + 3,6 + 18,-18.0,15661224751605.924,8.556163526499385e-05
13 + 106,60 + 3,-0.9,4.568159783502966,293334748.23694944
13 + 106,17 + 43,-10.5,49771607.91391722,26.922979910908342
13 + 106,6 + 54,-11.1,137027960.96658316,9.779026050944333
33 + 19,13 + 106,-3.5,367.8413578419695,3642874.7649841085
13 + 106,18 + 74,-9.5,9203135.10743638,145.6025565589322
60 + 2,13 + 6,-8.6,2014626.358007824,665.1357432477292
13 + 6,17 + 18,-0.5,2.3255353028950725,576211420.3692484
70 + 0,13 + 6,-21.4,4866107420122032.0,2.753741100040072e-07
13 + 0,17 + 2,-14.2,25659689865.034607,0.0522219873680532
13 + 0,33 + THF,-21.1,2932701962417846.0,4.5691652857054937e-07
13 + 0,70,-10.5,49771607.91391722,26.922979910908342
13 + 1,2 + 18,-7.3,224509.5793596888,5968.564921914419
13 + 1,70 + THF,-4.9,3907.732077480938,342909.89592710545
13 + 33,70 + 18,-1.0,5.408114445011275,247775821.61488563
60 + 17,13 + 43,-1.3,8.973453888932612,149329345.93364164
3 + 70,13 + 43,-8.2,1025595.6314420968,1306.5578273922804
13 + 43,6 + 33,-8.8,2823603.336179338,474.5709083249544
13 + 43,18 + 54,-1.1,6.402512879685622,209292823.79917634
2 + 70,13 + 18,-7.7,441014.8623266769,3038.4463528746332
13 + 74,60 + 6,-9.4,7773761.466663551,172.37472563910808
13 + 74,17 + 54,-2.0,29.247701850339617,45815565.505172856
13 + 74,3 + 33,-2.0,29.247701850339617,45815565.505172856
70 + 19,13 + 74,-12.0,625965620.50296,2.140692645265913
13 + 74,43 + 18,-11.2,162223505.78673393,8.260208614660456
13 + 19,60 + 0,-0.0,1.0,1340000000.0
13 + 19,17 + 6,-22.8,5.1694687540404856e+16,2.5921425658151983e-08
13 + 19,2 + 43,-15.5,230256043808.19995,0.0058196083709151246
13 + 19,3 + 18,-15.0,99012061232.33348,0.013533704715586794
13 + 54,60 + 18,-7.9,618105.2042829661,2167.915737830535
13 + 54,17 + 33,-8.3,1214173.4991785414,1103.631401036662
13 + 54,70 + 6,-8.7,2385058.847413558,561.8310011315416
2 + 2,13 + THF,-5.3,7676.144283352704,174566.8073105485
2 + 105,6 + THF,-42.0,6.136584021133598e+30,2.183625279773265e-22
2 + 3,6 + 1,-10.8,82583908.52019739,16.225921296426396
2 + 3,54 + THF,-6.9,114292.18271317073,11724.336417328585
2 + 3,60,-3.2,221.6903530614061,6044466.894907388
2 + 106,3 + 6,-9.5,9203135.10743638,145.6025565589322
60 + THF,2 + 6,-3.2,221.6903530614061,6044466.894907388
33,2 + 6,-4.1,1012.716955245688,1323173.2648091314
70 + 1,2 + 33,-6.3,41513.46678079052,32278.682170192944
60 + 0,2 + 43,-15.5,230256043808.19995,0.0058196083709151246
3 + 18,2 + 43,-0.5,2.3255353028950725,576211420.3692484
70 + THF,2 + 18,-2.4,57.452654099156085,23323552.60189247
60 + 105,2 + 74,-27.3,1.0283769768880012e+20,1.3030241148095414e-11
2 + 74,6 + 6,-18.0,15661224751605.924,8.556163526499385e-05
2 + 19,3 + 1,-7.7,441014.8623266769,3038.4463528746332
2 + 19,6 + 0,-8.6,2014626.358007824,665.1357432477292
2 + 19,43 + THF,-20.9,2092467662849139.2,6.403922143176317e-07
2 + 19,54,-10.4,42041391.67993515,31.87335020214219
2 + 54,60 + 1,-0.6,2.753135104728402,486717850.38758266
2 + 54,6 + 18,-16.4,1051846399233.113,0.001273950265910475
